id,repo_name,sha_fail,total_jobs,logged_jobs,complete_job_log_coverage,observed_start,observed_end,observed_wall_seconds,observed_runner_seconds
44,wandb,c99ead9542bde331497f2456537fdbb0e37706d0,1,1,True,2026-08-17T10:16:09.740618+00:00,2026-08-17T10:18:42.550192+00:00,152.809574,152.809574
64,errbot,8a04007d606de7a355f904407294f8ad5d2b7374,3,1,False,2026-08-17T10:16:12.601361+00:00,2026-08-17T10:18:11.113991+00:00,118.51263,118.51263
63,errbot,a14be35a9de01a87991618a5dbd6b96470d0f799,3,1,False,2026-08-17T10:16:14.474904+00:00,2026-08-17T10:18:13.674986+00:00,119.200082,119.200082
37,river,fd461e9133f1d191e3db194745f2306cde1772b6,1,1,True,2026-08-17T10:16:18.364514+00:00,2026-08-17T10:16:18.748008+00:00,0.383494,0.383494
27,optuna,0b08b8e82f8e67d89dd4335e63ecd95ab6f5f048,2,2,True,2026-08-17T10:16:20.479812+00:00,2026-08-17T10:23:14.301836+00:00,413.822024,414.13304600000004
11,skypilot,cced5b5d68a3fe1a02d8ac1186e9d12b6c75dc8d,1,1,True,2026-08-17T10:16:23.420220+00:00,2026-08-17T10:17:28.525150+00:00,65.10493,65.10493
13,skypilot,b639adb71066410b3b12d97a674ee7fcb51e9980,1,1,True,2026-08-17T10:16:27.042159+00:00,2026-08-17T10:20:53.040224+00:00,265.998065,265.998065
15,skypilot,c3f4fe9eefdb297183b6d51bfc305e40feeec358,1,1,True,2026-08-17T10:16:29.928792+00:00,2026-08-17T10:17:33.741557+00:00,63.812765,63.812765
12,skypilot,edaf59b69f96acdf155c4514061ea648ea6df122,1,1,True,2026-08-17T10:16:32.810698+00:00,2026-08-17T10:17:35.550185+00:00,62.739487,62.739487
67,cowrie,55f8e6684499eb6abe5b1c1dba01ca4c90d2c949,7,1,False,2026-08-17T10:16:35.654341+00:00,2026-08-17T10:16:59.068235+00:00,23.413894,23.413894
59,octodns,3ed7a88e343c89b7153efea25db1b6287b2f0823,7,6,False,2026-08-17T10:17:17.073691+00:00,2026-08-17T10:23:14.338475+00:00,357.264784,26.240948
