repo,id,sha_fail,error_types,group,group_size,similar_count,has_similar,avg_sim,max_sim
agno-agi/agno,186,7da71b58b1eb9b56...,"Import Error, Code Styling",G1,83,45,True,0.6905,0.8253
agno-agi/agno,207,b55b03d12d1c33d6...,"Type Checking, Import Error",G1,83,45,True,0.6781,0.8099
agno-agi/agno,184,7b8834b321a97bc5...,"Import Error, Type Checking",G1,83,45,True,0.6632,0.8647
agno-agi/agno,74,c434e89bee35d93f...,"Type Checking, Import Error",G1,83,42,True,0.6776,0.8756
agno-agi/agno,86,f2436c62292765f0...,"Type Checking, Import Error",G1,83,40,True,0.6473,0.7697
agno-agi/agno,78,d78ebf9508e112a8...,"Import Error, Type Checking",G1,83,37,True,0.6733,0.809
agno-agi/agno,199,9ebc254bb14ed052...,"Code Styling, Import Error",G1,83,37,True,0.6719,0.8493
agno-agi/agno,202,a52d22193b0ad091...,"Type Checking, Import Error",G1,83,37,True,0.671,0.8647
agno-agi/agno,79,da9d2e853bd3c311...,"Type Checking, Import Error",G1,83,36,True,0.6784,0.8756
agno-agi/agno,189,82609349d7098fd5...,"Code Styling, Import Error",G1,83,36,True,0.6648,0.806
agno-agi/agno,151,09c3a7624b042f0a...,"Import Error, Type Checking",G1,83,36,True,0.6565,0.7727
agno-agi/agno,152,110e09997f8a22a6...,"Test Failure, Type Checking",G1,83,35,True,0.6765,0.7921
agno-agi/agno,156,1a6efefa726610d7...,"Type Checking, Import Error",G1,83,34,True,0.6596,0.7533
agno-agi/agno,159,1da36493c0905f61...,"Import Error, Type Checking",G1,83,34,True,0.6432,0.7136
agno-agi/agno,192,8474427eeab92e28...,"Code Styling, Import Error",G1,83,33,True,0.6666,0.7978
agno-agi/agno,165,344c0994f4fce22a...,"Type Checking, Import Error",G1,83,32,True,0.6604,0.7881
agno-agi/agno,73,c27ea5332c1d979a...,Import Error,G1,83,31,True,0.6739,0.8493
agno-agi/agno,191,840ad511b904f436...,"Code Styling, Import Error",G1,83,28,True,0.6517,0.7324
agno-agi/agno,89,fb10c6e8e2f7ca6d...,"Import Error, Type Checking",G1,83,28,True,0.6502,0.7641
agno-agi/agno,167,39d992d415c335b6...,"Import Error, Type Checking",G1,83,26,True,0.6554,0.7533
agno-agi/agno,193,84d26c4b6b588136...,"Import Error, Type Checking",G1,83,26,True,0.6547,0.7526
agno-agi/agno,175,67b1780b01f5d746...,"Type Checking, Import Error",G1,83,26,True,0.6535,0.7281
agno-agi/agno,176,6865351833c00271...,"Code Styling, Import Error",G1,83,25,True,0.6762,0.8253
agno-agi/agno,162,3045ad82fb7ebc11...,"Code Styling, Import Error",G1,83,25,True,0.6717,0.7966
agno-agi/agno,77,d340b3a337398d53...,Import Error,G1,83,25,True,0.6507,0.8093
agno-agi/agno,76,d1e88b8766d152d7...,"Import Error, Type Checking",G1,83,23,True,0.6629,0.7409
agno-agi/agno,172,55c8c01643e65d53...,"Test Failure, Type Checking",G1,83,23,True,0.6541,0.7527
agno-agi/agno,187,7efb1f09096dd41e...,"Code Styling, Import Error",G1,83,22,True,0.6569,0.7652
agno-agi/agno,200,a19827aa499277f6...,"Type Checking, Test Failure",G1,83,22,True,0.6544,0.7855
agno-agi/agno,84,ede117552a48bee7...,"Import Error, Type Checking",G1,83,22,True,0.6401,0.7031
agno-agi/agno,155,1a41bfdce3fbdd13...,"Type Checking, Import Error",G1,83,21,True,0.661,0.7193
agno-agi/agno,90,ff5106ea7e8f83cb...,"Type Checking, Test Failure",G1,83,21,True,0.6566,0.7558
agno-agi/agno,203,ac2b8825370e010e...,"Type Checking, Import Error",G1,83,21,True,0.6514,0.7427
agno-agi/agno,197,98c0877ed94c574c...,"Test Failure, Type Checking",G1,83,21,True,0.6358,0.7034
agno-agi/agno,205,ae364459a503a286...,Import Error,G1,83,19,True,0.6801,0.8141
agno-agi/agno,209,b9a749745c9e91ee...,"Test Failure, Type Checking",G1,83,19,True,0.6656,0.7855
agno-agi/agno,183,78c5d662bf2145c9...,"Type Checking, Import Error",G1,83,19,True,0.6469,0.7427
agno-agi/agno,295,d6626e5de246cce8...,Import Error,G1,83,18,True,0.6601,0.771
