repo,total_issues,similar_issues,eligible_pct,groups,pairs,avg_sim,max_sim
1panel-dev/maxkb,12,12,100.0,1,26,0.6835,0.8426
django-import-export/django-import-export,8,8,100.0,2,6,0.7285,0.9987
skypilot-org/skypilot,5,5,100.0,1,7,0.7683,0.8509
hacs/integration,3,3,100.0,1,2,0.6454,0.6584
nicolargo/glances,3,3,100.0,1,3,0.7325,0.9023
hkuds/lightrag,3,3,100.0,1,2,0.6117,0.6222
agno-agi/agno,84,83,98.8,1,784,0.6611,0.8756
adap/flower,27,24,88.9,1,58,0.6624,0.8086
berriai/litellm,30,26,86.7,3,40,0.6552,0.8819
camel-ai/camel,15,13,86.7,2,21,0.6846,0.8528
axolotl-ai-cloud/axolotl,51,44,86.3,2,89,0.6723,0.8038
browser-use/browser-use,27,23,85.2,1,59,0.6442,0.7851
beetbox/beets,6,5,83.3,1,5,0.6402,0.7233
conan-io/conan,25,20,80.0,1,66,0.6746,0.9119
aider-ai/aider,9,7,77.8,2,6,0.6779,0.8641
avaiga/taipy,12,9,75.0,2,13,0.6899,0.8636
huggingface/accelerate,4,3,75.0,1,3,0.6794,0.734
hkuds/deepcode,4,3,75.0,1,2,0.6899,0.6955
crewaiinc/crewai,13,9,69.2,2,10,0.6698,0.7437
arc53/docsgpt,15,10,66.7,2,11,0.6515,0.7352
pallets-eco/flask-admin,3,2,66.7,1,1,0.7024,0.7024
HKUDS/LightRAG,3,2,66.7,1,1,0.979,0.979
sqlmapproject/sqlmap,3,2,66.7,1,1,0.9673,0.9673
locustio/locust,3,2,66.7,1,1,0.6103,0.6103
systran/faster-whisper,3,2,66.7,1,1,0.6682,0.6682
allenai/olmocr,3,2,66.7,1,1,0.6013,0.6013
secdev/scapy,3,2,66.7,1,1,0.6503,0.6503
eleutherai/lm-evaluation-harness,3,2,66.7,1,1,0.6065,0.6065
aio-libs/aiohttp,14,9,64.3,4,5,0.7037,0.8982
canonical/cloud-init,6,3,50.0,1,2,0.6935,0.7562
huggingface/diffusers,4,2,50.0,1,1,0.6363,0.6363
encode/starlette,4,2,50.0,1,1,0.6396,0.6396
encode/uvicorn,4,2,50.0,1,1,0.9081,0.9081
python/cpython,4,2,50.0,1,1,0.741,0.741
openai/openai-python,4,2,50.0,1,1,0.7047,0.7047
agentscope-ai/agentscope,7,3,42.9,1,2,0.6269,0.6335
andrewyng/aisuite,7,3,42.9,1,3,0.7109,0.752
encode/httpx,5,2,40.0,1,1,0.7093,0.7093
aws/aws-cli,5,2,40.0,1,1,0.7381,0.7381
kovidgoyal/calibre,6,2,33.3,1,1,0.7163,0.7163
tobymao/sqlglot,5,0,0.0,0,0,0.0,0.0
kovidgoyal/kitty,4,0,0.0,0,0,0.0,0.0
airbytehq/airbyte,4,0,0.0,0,0,0.0,0.0
mwaskom/seaborn,3,0,0.0,0,0,0.0,0.0
pygithub/pygithub,3,0,0.0,0,0,0.0,0.0
facefusion/facefusion,3,0,0.0,0,0,0.0,0.0
stanfordnlp/dspy,3,0,0.0,0,0,0.0,0.0
