id_a,id_b,sha_a,sha_b,sim_score,error_types_a,error_types_b
302,303,3fecab1b8e5668d6fa49529e87195f6ee7eba268,dadeba110a5a98dbc810f9b8f3896424175318c1,0.9987,Test Failure,Test Failure
293,294,a0593ec1c9613ae8ab78fddd30e47114ded16f00,60564cf453626802e147b5b929b8b1c6427fb3d8,0.979,Code Formatting,Code Formatting
221,222,e87521de11a3590c9e844173d80eba1a07e36dd8,86e4cd55fa5e00e99c72cd91c4b69b231d79a270,0.9673,Test Failure,Test Failure
540,546,b41c3a617f8b67bd12b40558e6ce45fcfe18be16,dcba90e30c60bdb723989d610211052f9034bdc8,0.9119,Environment,Environment Error|Test Failure
307,306,1635d1811c3630bf60e4392671e04be7765d902e,c4330a42492e01350945e09419953aa3f40fb796,0.9081,Tooling Error|Workflow Error,Tooling Error|Workflow Error
537,546,9dc2989bf314072dcfa5ddc2e481df5fc3132b07,dcba90e30c60bdb723989d610211052f9034bdc8,0.9045,Test Failure,Environment Error|Test Failure
315,255,48674ee71fd28378322b16a8796b2288507831bd,ce27d795db2ad56eabd9c05bf7a17c9a7bea951f,0.9023,Code Formatting,Code Formatting
348,354,3a7e3367046eb22823eed815391d0845ff3c6835,95daf0c88c0124cfe87000050efe81be97516d51,0.8982,Code Styling|Test Failure|Workflow Error,Code Styling|Test Failure
537,540,9dc2989bf314072dcfa5ddc2e481df5fc3132b07,b41c3a617f8b67bd12b40558e6ce45fcfe18be16,0.8893,Test Failure,Environment
389,390,c00dcda416ea115343732869949ac3b1d872d755,c0170b76dce30f86ad587eb32a2e030d8c715480,0.8819,Code Styling,Code Styling
74,79,c434e89bee35d93f4e741c32dc36c5a9a68404df,da9d2e853bd3c3111d4d8864906975c75f7e9888,0.8756,Type Checking|Import Error,Type Checking|Import Error
184,202,7b8834b321a97bc57d7a5ac82680c24aff793b91,a52d22193b0ad09104ad4afdc6adddffeb5b8894,0.8647,Import Error|Type Checking,Type Checking|Import Error
