repo,id,sha_fail,error_types,fix_type,temporal_rank_all,temporal_pct_all,temporal_rank_recurrent,recurrence_count,future_count,past_count,avg_sim,rcss_score,best_past_sim,pool,role
agno-agi/agno,186,7da71b58b1eb9b56ac1b4423afd9da61679a706e,"Import Error, Code Styling",import_fix,59,69.9,59,45,14,31,0.6905,45.6905,0.8253,eval,eval
agno-agi/agno,207,b55b03d12d1c33d6fb57e3c36aad243bb089b41c,"Type Checking, Import Error",import_fix,80,95.2,79,45,2,43,0.6781,45.6781,0.8099,eval,eval
agno-agi/agno,184,7b8834b321a97bc57d7a5ac82680c24aff793b91,"Import Error, Type Checking",test_fix,57,67.5,57,45,15,30,0.6632,45.6632,0.7921,eval,eval
agno-agi/agno,74,c434e89bee35d93f4e741c32dc36c5a9a68404df,"Type Checking, Import Error",import_fix,4,3.6,4,42,41,1,0.6776,42.6776,0.7972,memory,memory
agno-agi/agno,86,f2436c62292765f014a0dd30a013035abd13c33f,"Type Checking, Import Error",minor_fix,16,18.1,16,40,37,3,0.6473,40.6473,0.6997,memory,memory
agno-agi/agno,78,d78ebf9508e112a8d2526ec26bcc37d8e8a2bfa2,"Import Error, Type Checking",import_fix,8,8.4,8,37,33,4,0.6733,37.6733,0.809,memory,memory
agno-agi/agno,199,9ebc254bb14ed052a0ac459d8c109ae8e0c12233,"Code Styling, Import Error",import_fix,72,85.5,71,37,5,32,0.6719,37.6719,0.8493,eval,eval
agno-agi/agno,202,a52d22193b0ad09104ad4afdc6adddffeb5b8894,"Type Checking, Import Error",minor_fix,75,89.2,74,37,5,32,0.671,37.671,0.8647,eval,eval
agno-agi/agno,79,da9d2e853bd3c3111d4d8864906975c75f7e9888,"Type Checking, Import Error",import_fix,9,9.6,9,36,31,5,0.6784,36.6784,0.8756,memory,memory
agno-agi/agno,189,82609349d7098fd5ad1c71f0e057f50cd0074404,"Code Styling, Import Error",import_fix,62,73.5,62,36,8,28,0.6648,36.6648,0.7652,eval,eval
agno-agi/agno,151,09c3a7624b042f0af173fb95362fbefbb3d32522,"Import Error, Type Checking",structural_fix,24,27.7,24,36,24,12,0.6565,36.6565,0.7641,memory,memory
agno-agi/agno,152,110e09997f8a22a617e261dec9e301129bbead65,"Test Failure, Type Checking",type_annotation_fix,25,28.9,25,35,22,13,0.6765,35.6765,0.7175,eval,eval
agno-agi/agno,156,1a6efefa726610d7ca262beb8e6adf1607829dbb,"Type Checking, Import Error",structural_fix,29,33.7,29,34,19,15,0.6596,34.6596,0.7464,eval,eval
agno-agi/agno,159,1da36493c0905f61ee6fa58ebf792f993d3579dc,"Import Error, Type Checking",minor_fix,32,37.3,32,34,19,15,0.6432,34.6432,0.7136,eval,eval
agno-agi/agno,192,8474427eeab92e28766b8051d92e6b46379581e9,"Code Styling, Import Error",import_fix,65,77.1,64,33,6,27,0.6666,33.6666,0.7785,eval,eval
