repo,total,recurrent,singleton,mem_pool,eval_pool,verified_mem,verified_eval,excluded,coverage_pct
andrewyng/aisuite,7,3,4,1,2,1,2,4,100.0
canonical/cloud-init,6,3,3,1,2,1,2,3,100.0
huggingface/accelerate,4,3,1,1,2,1,2,1,100.0
nicolargo/glances,3,3,0,1,2,1,2,0,100.0
hkuds/lightrag,3,3,0,1,2,1,2,0,100.0
kovidgoyal/calibre,6,2,4,1,1,1,1,4,100.0
encode/httpx,5,2,3,1,1,1,1,3,100.0
aws/aws-cli,5,2,3,1,1,1,1,3,100.0
huggingface/diffusers,4,2,2,1,1,1,1,2,100.0
encode/starlette,4,2,2,1,1,1,1,2,100.0
encode/uvicorn,4,2,2,1,1,1,1,2,100.0
python/cpython,4,2,2,1,1,1,1,2,100.0
openai/openai-python,4,2,2,1,1,1,1,2,100.0
pallets-eco/flask-admin,3,2,1,1,1,1,1,1,100.0
HKUDS/LightRAG,3,2,1,1,1,1,1,1,100.0
sqlmapproject/sqlmap,3,2,1,1,1,1,1,1,100.0
locustio/locust,3,2,1,1,1,1,1,1,100.0
systran/faster-whisper,3,2,1,1,1,1,1,1,100.0
allenai/olmocr,3,2,1,1,1,1,1,1,100.0
secdev/scapy,3,2,1,1,1,1,1,1,100.0
eleutherai/lm-evaluation-harness,3,2,1,1,1,1,1,1,100.0
agno-agi/agno,84,83,1,24,59,23,56,5,94.9
conan-io/conan,25,20,5,6,14,6,13,6,92.9
axolotl-ai-cloud/axolotl,51,44,7,13,31,11,24,16,77.4
skypilot-org/skypilot,5,5,0,1,4,1,3,1,75.0
adap/flower,27,24,3,7,17,6,12,9,70.6
browser-use/browser-use,27,23,4,6,17,6,12,9,70.6
1panel-dev/maxkb,12,12,0,3,9,2,6,4,66.7
aider-ai/aider,9,7,2,2,5,2,3,4,60.0
berriai/litellm,30,26,4,7,19,7,11,12,57.9
arc53/docsgpt,15,10,5,3,7,3,4,8,57.1
crewaiinc/crewai,13,9,4,2,7,2,4,7,57.1
django-import-export/django-import-export,8,8,0,2,6,2,3,3,50.0
agentscope-ai/agentscope,7,3,4,1,2,1,1,5,50.0
hkuds/deepcode,4,3,1,1,2,1,1,2,50.0
hacs/integration,3,3,0,1,2,1,1,1,50.0
avaiga/taipy,12,9,3,2,7,2,3,7,42.9
camel-ai/camel,15,13,2,3,10,3,3,9,30.0
aio-libs/aiohttp,14,9,5,2,7,2,2,10,28.6
beetbox/beets,6,5,1,1,4,1,1,4,25.0
tobymao/sqlglot,5,0,5,0,0,0,0,5,0.0
kovidgoyal/kitty,4,0,4,0,0,0,0,4,0.0
airbytehq/airbyte,4,0,4,0,0,0,0,4,0.0
mwaskom/seaborn,3,0,3,0,0,0,0,3,0.0
pygithub/pygithub,3,0,3,0,0,0,0,3,0.0
facefusion/facefusion,3,0,3,0,0,0,0,3,0.0
stanfordnlp/dspy,3,0,3,0,0,0,0,3,0.0
